id,industry_lookup
52610685,其他動植物油脂製造
54661180,廚櫃批發
29041992,投資有價證券
29072066,未分類其他食品批發
26395561,找不到此統編
28490128,不動產投資開發
12251662,自有不動產買賣
28220265,室內裝潢工程
28600265,廢五金批發
42284330,其他飲料店
54733608,其他投資顧問
70404429,金（銀）飾批發
88220140,藝術表演活動籌辦、監製與經紀
72378708,手工藝品零售
42647733,投資有價證券
24290401,服裝批發
45087662,未分類其他土木工程
27571657,其他民間融資
27763347,電子器材、電子設備批發
43693544,其他汽車貨運
53123157,其他電子購物及郵購
12228760,清潔用品批發
12481545,其他商品批發經紀
28711190,眼鏡及其零配件零售
66462930,行銷管理顧問
85484168,未分類其他食品批發
91049447,農產品（花卉）批發市場承銷
27754699,產業用光學儀器批發
87493939,其他投資顧問
16669746,未分類其他專門營造
24931095,行銷管理顧問
70388878,翻譯服務
79998859,系統整合
82472668,其他廣告服務
83706741,書籍、雜誌零售
12917695,投資有價證券
54271015,其他服裝及其配件批發
72139995,澱粉糖製造
28684314,投資有價證券
42880816,室內設計
24290401,服裝批發
43941663,其他管理顧問
16491853,醫療耗材批發
52906884,未分類其他通用機械設備製造
84086522,塑膠外殼及配件製造
85118276,投資有價證券
60297049,中古汽車批發
00121406,其他汽車貨運
13109637,未分類其他機械器具批發
23245581,塑膠鞋製造
52762649,綜合商品批發
84876618,動力手工具製造
64892111,砂布、砂紙製造
80229631,其他汽車零件製造
86193478,紙盒、紙袋批發
53066347,其他未分類電子零組件製造
80641843,投資有價證券
16335586,未分類其他通訊傳播設備製造
25077146,全新汽車批發
80747331,建材五金（銲條）批發
82782869,人力供應
82792986,其他管理顧問
83594675,其他化粧品批發
53077702,海上浮動設施製造
05796772,金屬結構製造
17384923,建材五金（基本金屬）批發
22398308,動力手工具製造
27848388,未分類其他行政支援服務
58521008,室內裝修工程
88126449,餐館、餐廳
87186720,餐廳
24634102,其他電腦程式設計
54047782,航空器及其零件製造
28495995,不動產投資開發
16685942,其他未分類專用機械設備製造
23379835,其他未分類金屬製品製造
56676194,糕餅麵包製造
29182232,普通倉儲經營
12964063,未分類其他燃料批發
53876727,投資有價證券
27642885,全新汽車批發
53993160,室內裝修工程
09463190,汽車零件、汽車百貨批發
30851610,其他未分類化學製品製造
83177778,其他投資顧問
90805366,自有不動產租賃
83691183,不織布製造
50785060,其他化粧品零售
70585006,房屋設備安裝工程
12402015,其他商品批發經紀
22901308,其他商品批發經紀
28840053,其他商品批發經紀
52687234,投資有價證券
53123157,其他電子購物及郵購
84099293,其他商品批發經紀
70662880,電子器材、電子設備批發
03431616,其他商品批發經紀
12539552,實體書籍出版
81003800,海洋貨運承攬
18916906,中藥製造
28676335,醃漬水產品零售
22767610,未分類其他橡膠製品製造
31190820,中藥批發
83756349,保健營養食品批發
04373353,電子器材、電子設備批發
05424180,水泥及混凝土製品製造
89590248,脫水水產品製造
23023477,絲織、麻織、棉織、毛織品批發
42858510,未分類其他綜合商品零售
04633597,自有不動產買賣
16443868,不動產投資開發
20657406,住宅營建
23358846,不動產投資開發
23873033,其他建築工程
23988653,其他建築工程
24493341,自有不動產買賣
24494658,其他投資顧問
24495116,其他投資顧問
28192090,其他廣告服務
36525711,不動產投資開發
36528175,自有不動產買賣
42609225,不動產仲介
43942987,不動產投資開發
53524929,不動產投資開發
53548540,不動產投資開發
53957740,其他投資顧問
54320557,證券投資顧問
54660669,不動產投資開發
70841049,系統整合
80151872,不動產投資開發
80673231,不動產投資開發
84141187,不動產投資開發
84917316,不動產投資開發
86690644,不動產投資開發
96964262,不動產投資開發
97267763,不動產投資開發
16602154,觀光旅館
43693544,其他汽車貨運
27489828,其他布疋零售
27489828,其他布疋零售
27489828,其他布疋零售
42709147,其他廣告服務
80309472,醫療機械設備批發
05700592,瓦楞紙板（箱）製造
18577618,書籍、雜誌零售
80633560,不動產投資開發
86379024,不動產投資開發
97169355,自有不動產租賃
97270752,廢五金批發
07125700,防水工程
53572674,其他資源物回收處理
75970680,其他化學原材料製造
82884583,清潔用品批發
18930007,中藥批發
72680028,室內裝潢工程
83231787,不動產代銷
88148859,其他電子購物及郵購
12481545,其他商品批發經紀
84125671,木材批發
22958907,汽油零售
45011782,其他未分類電子零組件製造
27693238,健身中心
53334913,健身中心
59282357,投資有價證券
34125697,其他染整
50864640,投資有價證券
53697935,消防設備批發
22733443,其他醫療器材及用品製造
27378077,投資有價證券
28417921,本國銀行
14071286,未分類其他土木工程
16760202,連鎖速食店
80654972,餐廳
84915936,模板工程
90329835,其他服裝及其配件批發
28095344,電子器材、電子設備批發
42996083,投資有價證券
28129772,電子器材、電子設備批發
16096516,投資有價證券
96970638,投資有價證券
25125668,未分類其他服飾品批發
42618033,建築設計、顧問
24331450,餐廳
82883466,未分類其他食品批發
83764946,投資有價證券
96957234,廣告代理商
28493053,未分類其他金屬加工處理
30900892,不動產投資開發
86168822,其他未分類專賣批發
80475680,藝術表演活動籌辦、監製與經紀
16713911,旅館
25099269,其他管理顧問
52207410,未分類其他資訊服務
52923005,電視節目製作
54642277,其他管理顧問
54861151,不動產代銷
84828573,其他建築工程
89932815,複合支援服務
90805366,自有不動產租賃
12132174,未分類其他家用器具及用品批發
16326171,全新汽車零售
24319195,汽車零件、汽車百貨零售
24775284,未分類其他資訊服務
29054139,不動產投資開發
04633597,自有不動產買賣
16443868,不動產投資開發
16620462,投資有價證券
20657406,住宅營建
22957034,不動產投資開發
23988653,其他建築工程
24493341,自有不動產買賣
24494658,其他投資顧問
27852050,其他民間融資
28534343,其他管理顧問
36525711,不動產投資開發
36528175,自有不動產買賣
43942987,不動產投資開發
53524929,不動產投資開發
53957740,其他投資顧問
54320557,證券投資顧問
70841049,系統整合
