id,industry_lookup
80151872,不動產投資開發
80631916,移工仲介
80673231,不動產投資開發
84141187,不動產投資開發
84778026,不動產仲介
84917316,不動產投資開發
86153551,不動產投資開發
86690644,不動產投資開發
96964262,不動產投資開發
97267763,不動產投資開發
16301397,不動產仲介
42690920,其他化粧品批發
75371405,塗料製造
80198953,全新汽車批發
86728310,其他商品批發經紀
82803055,未分類其他全新商品零售
24452806,其他商品批發經紀
42609225,不動產仲介
53500813,實體書籍出版
23115308,會議籌辦
25100385,單層直銷（有形商品）
25190365,證券投資顧問
12968791,未分類其他建材批發
28867475,消防設備批發
04921056,不動產投資開發
22338652,不動產仲介
25662152,餐廳
25662152,餐廳
84417537,污水處理廠營建
04308451,水電工程
16309406,自有不動產租賃
28466696,都市、鄉鎮規劃
30821285,消防設備批發
52628236,其他廣告服務
66478399,水電工程
16051861,其他發電、輸電及配電機械製造
16762383,消防設備批發
25020094,家用空調設備及其零件批發
24562331,其他化粧品零售
12693251,飲酒店
24329715,百貨公司
80211962,消防設備批發
89865858,未分類其他燃料及相關產品零售
12651935,代辦留（遊）學服務
42836328,茶葉零售
28847844,投資有價證券
54725375,未分類其他資訊服務
70470671,其他投資顧問
82916425,其他廣告服務
27819124,進口家用家具批發
28798999,塑膠、橡膠建材製品批發
80695397,其他廣告服務
86800136,普通倉儲經營
03060311,醫療機械設備批發
25100385,單層直銷（有形商品）
12106345,未分類其他農產原料批發
24459195,綜合研究發展服務
25100385,單層直銷（有形商品）
28199066,動物飼品批發
50766508,室內裝修工程
16326171,全新汽車零售
25100385,單層直銷（有形商品）
89456740,其他家用電器批發
97298604,全新汽車零售
40791916,廣告代理商
42855458,不動產投資開發
18598803,不動產投資開發
30821861,不動產投資開發
84251037,自有不動產買賣
89935025,餐廳
42841238,旅館
80037850,全新汽車零售
70571164,金屬結構製造
80445342,系統整合
90403356,不動產投資開發
16750540,建築廢棄物清除
83365151,未分類其他服飾品批發
28858243,其他投資顧問
70710996,管道工程
90534792,其他管理顧問
50856917,管道工程
24374014,電子器材、電子設備批發
24533385,自有不動產買賣
28695396,投資有價證券
30859438,其他建築工程
54656166,其他廣告服務
55787518,室內裝修工程
80688488,其他投資顧問
84377916,未分類其他土木工程
28175141,都市、鄉鎮規劃
03543210,淺海養殖
53087912,自有不動產買賣
33857130,未分類其他土木工程
89961389,不動產投資開發
25106563,其他廣告服務
04287575,其他化學原材料及其製品批發
07209102,合成橡膠原料批發
11661317,自有不動產租賃
23531445,其他投資顧問
29072066,未分類其他食品批發
16821165,證券金融
16821221,證券金融
16821236,證券金融
27684998,其他發電、輸電及配電機械製造
42996083,投資有價證券
89961466,電腦製造
05052033,電子器材、電子設備批發
12178993,自有不動產買賣
16608191,投資有價證券
97371581,投資有價證券
11166999,建材五金（基本金屬）批發
15370509,其他金屬刀具及手工具製造
24438848,其他金屬建材批發
16437958,投資有價證券
97168335,投資有價證券
28680653,其他投資顧問
52687234,投資有價證券
80330926,投資有價證券
80355545,投資有價證券
09478757,其他商品批發經紀
28471889,投資有價證券
53134176,不動產投資開發
24717671,室內裝修工程
90280967,廣告代理商
80162511,電路工程
40601248,水泥製造
24717671,室內裝修工程
29050730,其他醫療器材及用品製造
05085196,投資有價證券
23225071,其他未分類電子零組件製造
24565442,投資有價證券
42862795,自有不動產買賣
43725068,自有不動產買賣
43740477,不動產投資開發
84454645,投資有價證券
30821285,消防設備批發
23628742,金屬手工具批發
52400864,其他廣告服務
86199233,未分類其他土木工程
90775412,其他廣告服務
23054127,實驗設備批發
23339975,消防警報設備裝修工程
53954363,寵物照顧及訓練
27360920,其他化粧品批發
28191661,其他廣告服務
28676047,不動產仲介
54688033,不動產投資開發
80172588,其他廣告服務
89967052,其他美容美體服務
04809429,家電材料批發
20791522,消防設備批發
23324277,消防設備批發
42722850,管道工程
25115161,不動產仲介
27530116,管道工程
80180932,室內裝潢工程
81069921,遊戲程式設計
04633597,自有不動產買賣
13068306,未分類其他金屬加工處理
20657406,住宅營建
23988653,其他建築工程
36528175,自有不動產買賣
42609225,不動產仲介
43942987,不動產投資開發
53524929,不動產投資開發
54320557,證券投資顧問
80151872,不動產投資開發
80673231,不動產投資開發
84141187,不動產投資開發
96964262,不動產投資開發
42295033,未分類其他食品、飲料及菸草製品零售
33144175,自有不動產買賣
49701774,磚瓦製造
12699001,海洋貨運承攬
24494658,其他投資顧問
28192090,其他廣告服務
36525711,不動產投資開發
53957740,其他投資顧問
70841049,系統整合
84917316,不動產投資開發
86153551,不動產投資開發
86690644,不動產投資開發
89448257,室內裝潢工程
97267763,不動產投資開發
30936857,其他商品批發經紀
80590844,房屋設備安裝工程
24565442,投資有價證券
12973942,服裝批發
28461279,其他服裝及其配件批發
82908332,其他服裝及其配件批發
35004734,型鋼製造
16621440,農業及其他工業用機械設備租賃
05637971,印刷電路板製造
16743605,投資有價證券
28199066,動物飼品批發
16848544,期貨商
16834268,玻璃纖維製造
23824511,證券商
87436305,旅館
03357101,其他商品批發經紀
11347508,自助儲物空間（如迷你倉庫）出租
11459242,汽車零件、汽車百貨批發
54353536,自有不動產買賣
84494490,廣告代理商
70464755,其他未分類金融服務
84149081,電腦製造
28209016,進口菸酒批發
04921056,不動產投資開發
18916906,中藥製造
03060311,醫療機械設備批發
29047721,其他未分類專業、科學及技術服務
27419886,不動產投資開發
27419886,不動產投資開發
85606660,其他化粧品批發
29147171,投資有價證券
84708465,不動產投資開發
84708465,不動產投資開發
84708465,不動產投資開發
84708465,不動產投資開發
84708465,不動產投資開發
84708465,不動產投資開發
24329715,百貨公司
80296032,百貨公司
84708465,不動產投資開發
24708758,其他資料處理、主機及網站代管服務
27754874,自有不動產租賃
04856816,文具零售
15985034,鐘錶製造
16838428,其他投資顧問
90474703,金（銀）飾批發
28483885,不動產仲介
20736042,其他電子、通訊設備及其零組件批發
66512164,食品、飲料及菸草製作用機械設備製造
91039216,餐廳
89944811,其他投資顧問
80063414,未分類其他機械器具批發
29182232,普通倉儲經營
54226217,不動產投資開發
85072476,汽車美容
24916361,其他建築工程
07656805,其他未分類金屬製品製造
83785273,室內裝潢工程
97575467,其他金屬刀具及手工具製造
02895911,其他金屬模具製造
23192472,其他紡織製成品製造
53951859,電腦套裝軟體零售
89832787,配線用開關、電插座製造
22689235,塑膠成型模具製造
28525800,土地開發
23632801,其他辦公用機械器具批發
28226795,電子器材、電子設備批發
69723038,未分類其他土木工程
53327461,醫療機械設備批發
05072951,其他家用電器零售
53422991,不動產投資開發
80454475,室內裝潢工程
86331964,室內裝潢工程
89496779,畜肉批發
16629695,汽車零件、汽車百貨批發
27489828,其他布疋零售
28679781,不動產投資開發
43693544,其他汽車貨運
53871618,住宅營建
86209703,未分類其他專門營造
22643702,預拌混凝土製造
52650362,小件家用器皿批發
02895911,其他金屬模具製造
28036943,美髮院及髮廊
28082214,未分類其他食品批發
54723019,冷凍調理肉類製造
22583845,瓦楞紙板（箱）製造
25146426,其他商品批發經紀
97220043,冷凍調理食品批發
70473430,其他未分類專用機械設備製造
27787951,其他建築設備安裝
70598966,其他電腦諮詢及設備管理
20860978,其他金屬建築組件製造
53330677,投資有價證券
91123473,綜合商品批發
13002375,塑膠成型模具製造
23248433,未分類其他電力設備及配備製造
23497468,房屋修繕
27336133,木製家具製造
36275072,室內裝潢工程
42703684,投資有價證券
47093063,室內裝潢工程
54848279,室內裝潢工程
85110247,室內裝修工程
12974203,眼鏡及其零配件零售
51821108,非酒精飲料批發
86213994,鍋爐及其附屬裝置製造
27843709,旅館
54157372,觀光旅館
24332140,百貨公司
53684517,其他回收物料批發
23681056,庭園景觀工程
33144175,自有不動產買賣
86517201,不動產投資開發
24529220,證券投資顧問
12707282,未分類其他土木工程
16973916,預拌混凝土製造
25169877,辦公室家具批發
70493421,未分類其他土木工程
42618033,建築設計、顧問
12111570,建材五金（螺絲、螺帽、鉚釘等金屬製品）批發
89774724,旅行業
16263175,系統規劃、分析及設計
70724767,住宅營建
12707282,未分類其他土木工程
24251218,其他醫療器材及用品製造
94779853,住宅營建
22957034,不動產投資開發
72160119,未分類其他土木工程
22221180,不動產投資開發
05712099,其他化學原材料及其製品批發
84201918,澱粉糖製造
27791033,不動產投資開發
53190084,自有不動產買賣
16618395,投資有價證券
22074737,未分類其他專門營造
34322867,不動產投資開發
86686803,不動產投資開發
54713568,不動產投資開發
05637971,印刷電路板製造
16743605,投資有價證券
54028384,自有不動產買賣
27393014,不動產投資開發
13087325,室內裝潢工程
54306035,檔土支撐及土方挖填工程
84179438,其他產業用機械設備維修及安裝
86781898,化工機械設備製造
23416917,其他未分類金融服務
45915232,室內裝潢工程
40064768,未分類其他土木工程
37098407,信用合作社
50973865,其他家用電器批發
80042214,其他水產品批發
42617914,百貨公司
27522811,成畜批發
80140144,檔土支撐及土方挖填工程
24691172,土地開發
83421294,投資有價證券
85083641,未分類其他家用器具及用品批發
24332140,百貨公司
80296032,百貨公司
27360920,其他化粧品批發
52476913,太陽能電池製造
89961352,不動產投資開發
70565326,其他電腦程式設計
16482762,電子器材、電子設備批發
88171176,視聽設備零售
23112695,普通倉儲經營
04441042,其他汽車製造
97478710,附駕駛之小客車租賃
22099218,其他積體電路製造
28112646,電子連接器（線）製造
16839427,投資有價證券
18930007,中藥批發
35836625,建材五金（基本金屬）批發
43834777,水泥及混凝土製品製造
44955117,電腦及電腦週邊設備批發
82956663,未分類其他金屬加工處理
24969042,自有不動產買賣
28189187,投資有價證券
28676047,不動產仲介
54688033,不動產投資開發
23189238,基本鋁件製造
86423128,不動產投資開發
86554090,不動產投資開發
90131382,汽車零件、汽車百貨批發
28897766,自有不動產租賃
28966778,財產保險經紀
42782688,其他化粧品批發
16095404,其他汽車零件製造
54320557,證券投資顧問
24645467,其他未分類金屬製品製造
28359990,未分類其他陸上運輸輔助
54815903,其他汽車貨運
83766450,室內裝修工程
86948222,其他未分類專賣批發
90476815,冷凍、通風、空調系統裝修工程
96887012,其他汽車貨運
05712099,其他化學原材料及其製品批發
24873588,住宅營建
34683411,金屬罐製造
24288475,豆腐（乾、皮）製造
80201079,水電工程
57002416,其他染整
80034328,自有不動產買賣
16424285,建築物一般清潔服務
80729349,其他汽車貨運
90427786,建材五金（螺絲、螺帽、鉚釘等金屬製品）批發
12529007,糖果餅乾批發
54536352,投資有價證券
69530089,水電工程
69710441,其他化學原材料及其製品批發
56708956,其他汽車貨運
89302871,其他未分類電子零組件製造
16036308,其他建築工程
31418473,茶葉零售
29176610,非酒精飲料批發
45911735,電線及電纜製造
25164922,旅館
91084513,電腦及電腦週邊設備零售
83080583,投資有價證券
53143962,其他管理顧問
53807341,室內裝潢工程
90139933,消防警報設備裝修工程
20991654,海上浮動設施製造
54525968,不動產投資開發
83402515,不動產投資開發
83735062,不動產代銷
20736042,其他電子、通訊設備及其零組件批發
24418765,自有不動產買賣
45013281,消防設備批發
89302871,其他未分類電子零組件製造
89302871,其他未分類電子零組件製造
26708183,找不到此統編
29041992,投資有價證券
54105190,西藥批發
54115253,其他未分類專業、科學及技術服務
54548580,其他廣告服務
89302871,其他未分類電子零組件製造
89321737,液化石油氣批發
70804380,全新汽車批發
89302871,其他未分類電子零組件製造
89302871,其他未分類電子零組件製造
44549792,其他發電、輸電及配電機械製造
83521499,自有不動產買賣
89302871,其他未分類電子零組件製造
80741771,其他玩具及娛樂用品批發
83521499,自有不動產買賣
27418893,清潔用品批發
83521499,自有不動產買賣
84177261,預拌混凝土製造
83521499,自有不動產買賣
87056655,自有不動產租賃
12902530,其他未分類電子零組件製造
24292061,不動產投資開發
27884145,污水處理廠營建
28182804,不動產投資開發
28516725,其他未分類電子零組件製造
50922156,其他廣告服務
52208430,未分類其他專門營造
53095954,不動產投資開發
53634165,其他廣告服務
80157756,不動產投資開發
82269383,其他廣告服務
83274639,其他廣告服務
84823367,其他化學原材料製造
97065767,自有不動產租賃
03242262,未分類其他機械器具批發
22101235,壓縮機製造
53123157,其他電子購物及郵購
53959254,一般事業廢棄物清除
53959254,一般事業廢棄物清除
12183834,翻譯服務
80290332,其他發電、輸電及配電機械製造
86766432,廢水及污水處理
97002905,塑膠、橡膠建材製品批發
25153235,其他未分類不動產服務
12539552,實體書籍出版
19053202,塗料製造
28587431,其他視聽電子產品製造
80333058,未分類其他家用電器製造
16899212,西藥批發
23911326,絲織、麻織、棉織、毛織品批發
86093870,塑膠、橡膠建材製品批發
70538004,其他辦公用機械器具批發
69740424,不動產投資開發
11708100,文具製造
13035951,其他染整
16727268,其他染整
22078419,其他豆類加工食品製造
31284848,化工機械設備製造
35860315,紡織紗零售
36075449,其他商品批發經紀
79955280,餐廳
84570243,梭織布染整
25073514,實驗設備批發
27658942,進口家用家具批發
22269091,廢鋼鐵及廢五金處理
80436414,紡織機械設備製造
80503124,其他未分類金融服務
86790860,未分類其他專門營造
04633983,農藥製造
10126653,手搖飲店
10598463,經營電視購物、電台購物
13087676,建材五金（基本金屬）批發
24828557,眼鏡及其零配件批發
28778804,旅館
29135983,建材五金（螺絲、螺帽、鉚釘等金屬製品）批發
34662268,未分類其他通用機械設備製造
42609787,其他投資顧問
42742791,不動產投資開發
42746570,其他投資顧問
45044550,手套、襪子零售
54988427,劇團
69688790,投資有價證券
87807093,找不到此統編
91822602,室內裝潢工程
04348947,石油化工原料製造
43834657,拉鍊製造
28825476,不動產投資開發
80526421,公開展示廣告
22601576,電子器材、電子設備批發
54537752,其他家用電器批發
84710883,一般廢棄物處理
47163519,食用油脂批發
54998516,未分類其他食品批發
22947803,原動機批發
69651695,電力機械器材及設備維修及安裝
89298285,未分類其他家用器具及用品批發
91029131,綜合商品批發
45011782,其他未分類電子零組件製造
44955117,電腦及電腦週邊設備批發
23398066,未分類其他塑膠製品製造
35836625,建材五金（基本金屬）批發
44402468,其他金屬建築組件製造
53332582,紙漿製造
53956799,其他產業用機械設備維修及安裝
22001117,未分類其他織布製造
50981823,不動產投資開發
12288529,未分類其他塑膠製品製造
12465806,其他化學原材料及其製品批發
23822020,自有不動產買賣
23929162,其他塑膠原料製造
80328962,自有不動產租賃
90578833,汽車駕駛訓練
97336918,其他資源物回收處理
97446703,未分類其他機械器具批發
24708758,其他資料處理、主機及網站代管服務
36096704,未分類其他通用機械設備製造
43733692,未分類其他織布製造
16448358,溫泉供應
16481790,未分類其他土木工程
22160944,未分類其他服飾品批發
22690465,棉混紡梭織布製造
45076095,未分類其他服飾品批發
84474348,木製家具製造
86248157,塑膠袋製品製造
89824745,汽油零售
80054219,其他布疋批發
83291356,投資有價證券
86105524,塑膠板、管材等製造
24938533,西藥批發
29041992,投資有價證券
34106066,糖果餅乾零售
24418765,自有不動產買賣
70532228,塑膠成型模具製造
16135834,染料、顏料批發
22985171,汽車車體、車身製造
23868587,竹、木、藤製（藤蓆除外）家飾品零售
45099626,電子連接器（線）製造
83372977,旅行業
89776862,未分類其他建材批發
43754555,其他金屬模具製造
54536352,投資有價證券
69530089,水電工程
43898363,金屬製品表面處理
73811006,宗教、喪葬用品零售
27417135,不動產投資開發
70519575,鋁合金鑄造
84629119,農、林、漁、礦、食品、紡織等技術指導
27104112,鐘錶製造
86122122,自有不動產租賃
86122122,自有不動產租賃
61771269,土木工程顧問
83251100,未分類其他食品批發
31544680,找不到此統編
24288475,豆腐（乾、皮）製造
53050176,汽油零售
70713396,管道工程
80600033,預拌混凝土製造
23565768,鋼鐵熱處理
86068942,水電工程
04339089,印刷
80233234,其他化學原材料製造
85029099,其他電腦程式設計
24719087,其他未分類電子零組件製造
24719087,其他未分類電子零組件製造
54770526,其他工程服務及相關技術顧問
11345109,計程車客運
18971506,計程車客運
20774137,計程車派遣、聯繫服務
91002941,未分類其他行政支援服務
53697914,其他未分類專業、科學及技術服務
12950624,景觀建築服務
25479660,建築物一般清潔服務
40849564,未分類其他綜合商品零售
70565070,建材五金（基本金屬）批發
22442141,電子器材、電子設備批發
27472930,投資有價證券
28798098,塑膠成型模具製造
50895783,未分類其他紡織品製造
80069466,不動產仲介
87477749,不動產轉租賃
88171176,視聽設備零售
98973415,廣告代理商
54052314,電子器材、電子設備批發
72902128,未分類其他運動服務
50630799,其他通訊設備零售
53294074,管道工程
97278403,其他辦公用機械器具批發
53950535,醫療耗材批發
70437701,其他電子、通訊設備及其零組件批發
89206602,電腦及電腦週邊設備零售
49675620,住宅營建
80316488,不動產投資開發
80055575,醫療機械設備批發
05796772,金屬結構製造
24841088,園藝苗木零售
52943733,熱水器、排油煙機、瓦斯器具、烘碗機製造
16440757,其他建築工程
23985071,不動產投資開發
28501878,一般事業廢棄物清除
42616942,其他未分類專業、科學及技術服務
85631464,未分類其他食品批發
12978735,其他家用電器批發
22977236,未分類其他金屬加工處理
20382596,找不到此統編
23250583,普通倉儲經營
89535490,金屬用車床、銑床、鑽床製造
12258779,報關服務
28103344,蔬菜批發
42942382,非電動自行車及非電動自行車零件批發
80063414,未分類其他機械器具批發
29122919,金屬用車床、銑床、鑽床製造
22105416,未分類其他專門營造
86933071,齒輪製造
80234971,未分類其他電腦週邊設備製造
82831741,管道工程
99166544,找不到此統編
23536862,其他金屬刀具及手工具製造
04477420,住宅營建
16494129,住宅營建
04477420,住宅營建
16494129,住宅營建
28641569,金屬罐製造
97241130,不動產投資開發
53978169,未分類其他專門營造
56683076,其他瓦楞紙板及紙容器製造
25052644,未分類其他光學儀器及設備製造
23179610,不動產投資開發
54586471,自有不動產買賣
89355996,未分類其他食品、飲料及菸草製品零售
47418647,找不到此統編
12914711,國產家用家具批發
23837071,自行車零件製造
53510657,金屬家具製造
53962997,電腦及電腦週邊設備零售
54901668,未分類其他食品批發
97220043,冷凍調理食品批發
63330009,未分類其他家用器具及用品批發
28924573,食品飲料機械批發
24842636,其他管理顧問
51814009,信用合作社
12816628,投資有價證券
53630288,投資有價證券
83120868,投資有價證券
31096846,紙袋製造
52484982,金屬裁剪、焊接處理
83120868,投資有價證券
54768970,不動產投資開發
59335951,鑄鐵件鑄造
86676903,金屬門窗（框）製造
97502824,其他金屬刀具及手工具製造
05142909,綜合商品批發
16230056,文具批發
16973845,投資有價證券
28962490,茶葉批發
86242288,投資有價證券
64914163,電路工程
97447647,自有不動產買賣
64937623,未分類其他土木工程
27860707,汽油零售
54003834,不動產投資開發
16973845,投資有價證券
23113033,不動產投資開發
23179610,不動產投資開發
23471880,室內設計
23795522,未分類其他土木工程
27432430,廣告代理商
82777612,不動產投資開發
86629064,其他建築工程
89895213,不動產投資開發
97447647,自有不動產買賣
23208609,未分類其他土木工程
27667225,不動產投資開發
52364797,貨櫃及貨物集散站經營
70517367,不動產投資開發
22914985,紡織紗批發
28015594,投資有價證券
28497570,不動產投資開發
70692364,其他建築工程
79960002,其他發電、輸電及配電機械製造
85902022,其他體育用品製造
22063416,海上浮動設施製造
28015594,投資有價證券
84668029,未分類其他通用機械設備製造
89988795,衛浴設備批發
96887456,製網
98734750,未分類其他食品批發
60236070,未分類其他專門營造
70567669,航空貨運承攬
16524622,其他金屬切削工具機製造
90128513,未分類其他食品、飲料及菸草製品零售
89873409,自行車零件製造
27534921,電子器材、電子設備批發
28514206,全新汽車零售
28587988,投資有價證券
21233666,音響設備製造
84694309,其他未分類金屬製品製造
24200274,投資有價證券
55825288,其他金屬建築組件製造
56660502,其他汽車貨運
23095746,鑄鐵件鑄造
56004210,稻米批發
17061851,未分類其他塑膠製品製造
79969334,皮包、手提包（真皮皮包、手提包除外）零售
80126641,動力手工具製造
28757667,食用油脂批發
31096846,紙袋製造
82804441,未分類其他清潔服務
91125177,水泥及水泥製品批發
70473430,其他未分類專用機械設備製造
79973105,其他碾穀
23835215,基本金屬表面處理
28128582,汽車電力系統製造
97572692,其他瓦楞紙板及紙容器製造
16557170,金（銀）飾批發
23835215,基本金屬表面處理
80465233,其他未分類金融服務
13051234,其他商品批發經紀
22930612,金屬裁剪、焊接處理
45582924,醫院
53608011,視覺傳達與平面設計
02895911,其他金屬模具製造
22930612,金屬裁剪、焊接處理
28769919,金屬結構及建築組件批發
45149040,建築物一般清潔服務
52459787,未分類其他塑膠製品製造
53604514,合板及組合木材製造
63789407,西藥批發
52359014,其他金屬刀具及手工具製造
23536862,其他金屬刀具及手工具製造
80234276,米零售
53873952,管道工程
57132939,鐘錶製造
82764996,投資有價證券
51236922,印刷機械設備製造
27790941,投資有價證券
23179610,不動產投資開發
16341258,證券投資顧問
97499763,其他投資顧問
53141660,不動產投資開發
80172588,其他廣告服務
27847472,其他未分類金屬製品製造
28136871,不動產投資開發
55712046,其他金屬刀具及手工具製造
86194743,其他未分類運輸工具及其零件製造
54768970,不動產投資開發
97172915,票券金融
34219456,造紙機械設備製造
51814009,信用合作社
52718834,其他金屬刀具及手工具製造
83788314,茶葉批發
23100500,水電工程
12606571,投資有價證券
55323709,人用西藥製造
60291896,投資有價證券
97252109,醫療耗材零售
16332027,印刷
23371496,不動產投資開發
23273734,預拌混凝土製造
52484982,金屬裁剪、焊接處理
01985288,未分類其他非金屬家具製造
12877960,其他家用電器批發
28494779,自有不動產買賣
86562063,不動產投資開發
89554968,其他未分類金融服務
16201600,綜合商品批發
16672931,綜合商品批發
28440015,投資有價證券
55730516,其他汽車貨運
70720354,蔬菜批發
23530966,眼鏡及其零配件批發
23687946,其他金屬加工用機械設備製造
28376338,服裝批發
80623177,自有不動產買賣
28507280,未分類其他機械器具批發
23712868,其他金屬刀具及手工具製造
24847668,未分類其他食品批發
50837813,建材五金（螺絲、螺帽、鉚釘等金屬製品）批發
90128513,未分類其他食品、飲料及菸草製品零售
84692920,汽車零件、汽車百貨批發
13022999,眼鏡及其零配件批發
16838428,其他投資顧問
22088063,木製家具製造
52686707,其他金屬切削工具機製造
54768535,投資有價證券
70806628,非酒精飲料批發
84346772,未分類其他電力設備及配備製造
89325570,金屬用車床、銑床、鑽床製造
28150535,房屋設備安裝工程
84694309,其他未分類金屬製品製造
05384743,冶金機械製造
50837813,建材五金（螺絲、螺帽、鉚釘等金屬製品）批發
52307500,基本金屬表面處理
80063414,未分類其他機械器具批發
84230934,未分類其他塑膠製品製造
86560620,電腦及電腦週邊設備批發
